Comment,Designator,Footprint,LCSC,Quantity
10n,C6,C_0402_1005Metric,C15195,1
100n,"C10,C11,C12,C2,C3,C4,C5,C9",C_0402_1005Metric,C1525,8
4.7u,C1,C_0603_1608Metric,C19666,1
STC31-C-R3,U3,XDCR_STC31-C-R3,C22396918,1
LED,D1,LED_0603_1608Metric,C2286,1
2M,R4,R_0603_1608Metric,C22976,1
STM32U031C8Tx,U1,LQFP-48_7x7mm_P0.5mm,C23172783,1
220r,R6,R_0402_1005Metric,C25091,1
10k,"R1,R2,R3",R_0402_1005Metric,C25744,3
1M,R5,R_0402_1005Metric,C26083,1
1u,"C7,C8",C_0402_1005Metric,C52923,2
SHT4x,U2,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,C7461861,1
MS5607-02BA,U5,LGA-8_3x5mm_P1.25mm,C97627,1
