Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7u,C19666
"C10, C11, C12, C2, C3, C4, C5, C9",0402,8,100n,C1525
C6,0402,1,10n,C15195
"C7, C8",0402,2,1u,C52923
D1,0603,1,LED,C2286
"R1, R2, R3",0402,3,10k,C25744
R4,0603,1,2M,C22976
R5,0402,1,1M,C26083
R6,0402,1,220r,C25091
U1,LQFP-48_7x7mm_P0.5mm,1,STM32U031C8Tx,C23172783
U2,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,C7461861
U3,XDCR_STC31-C-R3,1,STC31-C-R3,C22396918
U4,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22DF,C3253714
