Designator,Mid X,Mid Y,Rotation,Layer
C1,127.8,-81.3,0.0,top
C10,130.525,-65.0,180.0,top
C11,135.125,-60.6,0.0,top
C12,135.95,-93.2,270.0,top
C2,128.2,-82.7,0.0,top
C3,136.8,-85.5,270.0,top
C4,133.9,-94.25,180.0,top
C5,125.2,-84.9,90.0,top
C6,125.2,-89.1,90.0,top
C7,124.0,-89.1,90.0,top
C8,122.8,-89.1,90.0,top
C9,124.925,-60.6,180.0,top
D1,118.1,-97.1,0.0,top
R1,107.8,-94.15,90.0,top
R2,133.16,-78.9,0.0,top
R3,130.96,-78.9,180.0,top
R4,117.95,-90.3,270.0,top
R5,117.95,-92.9,270.0,top
R6,120.5,-97.1,270.0,top
U1,131.0,-88.5,270.0,top
U2,124.925,-62.4,90.0,top
U3,130.0,-62.0,0.0,top
U4,135.325,-62.4,0.0,top
